Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-08-04,Groceries,UPI,Air over much nothing.,244.91,0.0
2024-04-13,Bills,Net Banking,Truth reduce relate least.,370.02,0.0
2025-01-16,Entertainment,Cash,Travel consider red special.,370.24,0.0
2024-11-20,Rent,Net Banking,Pick enjoy try win.,145.41,40.57
2024-05-04,Food,UPI,Pay this.,431.87,0.0
2024-08-26,Rent,Net Banking,Less theory social staff.,478.07,0.0
2024-05-30,Food,Net Banking,School and campaign face support.,402.88,0.0
2024-03-29,Food,Net Banking,Artist brother discover.,382.47,0.0
2024-07-28,Entertainment,Cash,Foot face interview should.,297.03,0.0
2024-05-28,Transportation,Cash,Leave majority order bring.,414.92,0.0
2024-09-09,Food,Credit Card,Billion expert establish.,393.6,0.0
2025-02-22,Bills,Cash,Door possible treatment.,126.42,0.0
2025-03-14,Rent,Cash,Believe my wall.,331.56,2.18
2025-02-26,Groceries,UPI,Begin general always.,58.79,0.0
2024-10-03,Groceries,Debit Card,She hard American.,285.3,0.0
2024-07-23,Transportation,Credit Card,Professional go human administration.,405.8,0.0
2024-06-02,Bills,Credit Card,National say economic.,143.36,0.0
2024-04-26,Food,Debit Card,Section own increase.,190.36,27.15
2024-05-12,Food,Credit Card,Another late rock.,317.59,0.0
2024-04-28,Food,Net Banking,Sit two agency without north.,222.41,34.4
2024-08-24,Groceries,Debit Card,Especially similar not.,93.65,0.0
2024-10-12,Entertainment,Cash,Establish four short city chance.,205.61,0.0
2024-05-13,Groceries,Credit Card,Eat true identify prepare.,386.82,0.0
2024-11-23,Bills,Credit Card,Build owner too interview.,101.82,0.0
2024-07-08,Entertainment,Cash,Card news machine.,274.13,0.0
2025-01-05,Transportation,UPI,Adult talk.,209.35,40.06
2024-10-10,Transportation,Net Banking,Read general side should.,209.33,0.0
2025-01-01,Food,Debit Card,Real economy join half.,354.95,12.51
2025-01-15,Rent,Credit Card,Finally start off move.,55.46,0.0
2024-05-30,Food,UPI,Budget mother role beyond.,308.04,0.0
2024-03-28,Bills,Net Banking,Sit support modern serve ok.,213.82,0.0
2024-04-04,Bills,Debit Card,Win time far.,161.35,0.0
2024-09-28,Entertainment,Net Banking,Skin would common.,94.49,0.0
2025-01-05,Food,Net Banking,Yourself official.,302.25,47.42
2024-09-18,Rent,UPI,Per yourself.,60.94,11.84
2024-08-08,Food,Net Banking,Movement myself color have.,173.23,0.0
2025-01-10,Bills,UPI,Network price authority.,231.94,0.0
2025-03-03,Groceries,Net Banking,Create team impact feel evidence.,397.31,0.0
2024-09-21,Groceries,Debit Card,Party laugh top customer.,182.21,0.0
2024-07-21,Rent,UPI,Bill education need everything bring.,143.53,0.0
2024-10-07,Bills,Net Banking,Laugh let.,319.43,13.14
2025-01-23,Transportation,Credit Card,Build nation type conference bad.,73.09,37.76
2024-10-06,Transportation,Cash,Lot risk smile into.,164.82,0.0
2024-10-18,Food,Cash,Season blood manage follow.,445.41,10.35
2024-11-14,Food,Debit Card,Who actually.,460.52,35.85
2024-11-20,Rent,Cash,Appear force.,59.86,0.0
2024-10-13,Groceries,Credit Card,Year reason.,496.89,0.0
2024-08-24,Bills,UPI,Fight huge dinner.,53.61,0.0
2025-02-05,Transportation,Credit Card,Mother series relate.,488.97,28.7
2024-05-02,Rent,Debit Card,Watch pick statement.,105.88,48.79
2024-06-15,Entertainment,Debit Card,Entire first local indeed.,362.16,0.0
2024-11-21,Transportation,Credit Card,Attack indicate model.,360.26,0.0
2025-03-15,Food,UPI,Guess whatever important month.,336.98,0.0
2024-07-07,Entertainment,Net Banking,Mean owner field speak Mr.,414.02,35.43
2024-04-20,Transportation,Debit Card,Rock avoid environmental once technology.,428.25,0.0
2025-01-10,Food,Debit Card,Cause pretty magazine activity wish.,208.41,0.0
2024-07-03,Rent,UPI,Bring hundred order man.,288.62,0.0
2024-05-05,Bills,Net Banking,Under start fact wind ability.,492.03,0.0
2024-07-30,Transportation,Debit Card,Me level.,311.96,0.0
2024-04-28,Food,Debit Card,Why play bed long.,388.75,0.0
2024-04-23,Food,Net Banking,While since other.,256.23,0.0
2024-11-04,Food,Cash,Ask vote suffer hundred.,279.98,0.0
2024-05-31,Groceries,Net Banking,Trouble close hit its.,131.39,2.53
2024-04-16,Food,UPI,Scene about some play.,421.6,0.0
2024-07-20,Bills,Credit Card,Purpose table.,395.18,19.66
2024-03-30,Bills,Net Banking,As ahead.,295.9,0.0
2025-02-26,Food,UPI,Left rich rock fish.,117.6,0.0
2024-04-13,Transportation,Cash,Draw author mind summer.,403.81,0.0
2024-10-20,Transportation,Debit Card,Rock national actually.,359.0,46.91
2024-06-09,Groceries,Debit Card,Offer television food.,228.35,0.0
2024-03-18,Bills,UPI,Hot hard your.,100.37,0.0
2024-07-27,Rent,UPI,Dog care kitchen million nation.,65.79,8.07
2024-10-21,Bills,UPI,Responsibility prove baby majority offer.,179.78,0.0
2024-09-10,Transportation,Net Banking,Letter word sometimes nature heavy.,160.05,0.0
2024-12-10,Food,Credit Card,Agent skin begin performance.,444.01,0.0
2025-02-16,Food,Net Banking,Eight tell join evidence woman.,134.04,0.0
2024-10-06,Groceries,Cash,Crime ahead.,466.47,0.0
