Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-06-19,Bills,Debit Card,Nature face mind.,323.08,46.7
2024-08-20,Rent,Debit Card,Available behind right tree low.,284.2,0.0
2024-05-14,Transportation,UPI,More watch however success three.,240.65,0.0
2024-11-10,Food,Cash,Agency under story.,329.85,0.0
2024-03-20,Food,Credit Card,Increase article through what.,146.26,0.0
2025-03-09,Food,Net Banking,Find people total important.,313.66,0.0
2024-08-28,Transportation,Debit Card,Maybe administration push.,220.49,0.0
2025-02-12,Rent,Credit Card,Five suddenly just north.,257.17,0.0
2024-10-02,Rent,Cash,Image amount environment.,326.29,0.0
2024-05-11,Transportation,UPI,Image current general.,172.17,0.0
2025-01-23,Groceries,Cash,Lead my.,219.13,0.0
2024-07-29,Rent,Debit Card,Even senior.,210.04,0.0
2025-02-26,Groceries,Debit Card,East eight.,232.93,0.0
2024-06-15,Transportation,Net Banking,Base attack relate type show.,310.73,0.0
2024-07-16,Groceries,Net Banking,Program leader.,444.91,15.87
2024-07-21,Bills,UPI,Support cell eight know.,177.22,0.0
2025-03-15,Groceries,Debit Card,Government picture especially.,255.01,0.0
2024-06-23,Transportation,Net Banking,Cover daughter must.,245.02,0.0
2024-04-19,Entertainment,UPI,Pay step provide.,191.32,0.0
2024-06-25,Entertainment,Net Banking,Expect but.,136.54,34.18
2024-06-30,Transportation,UPI,Tell body coach.,145.03,22.28
2024-12-01,Bills,Cash,High job on.,50.79,0.0
2025-01-13,Transportation,Credit Card,Instead movie machine.,482.22,0.0
2025-01-28,Food,Credit Card,Season support.,362.34,0.0
2024-11-24,Groceries,Cash,Few bank than.,404.49,0.0
2024-11-25,Groceries,Debit Card,Your serve wait force.,103.82,0.0
2024-11-24,Transportation,Debit Card,Budget most manager.,496.52,19.91
2024-08-10,Groceries,Cash,All health building age else.,278.72,35.29
2024-07-13,Groceries,Net Banking,Wall exist else long.,214.61,0.0
2025-01-11,Rent,UPI,Notice find office.,414.13,0.0
2024-06-24,Groceries,UPI,Person test clearly upon.,390.38,48.98
2024-07-17,Entertainment,Net Banking,Painting significant movement.,224.28,0.0
2025-01-04,Entertainment,Debit Card,Power so.,390.86,0.0
2024-12-08,Bills,Credit Card,Better these a tell.,99.31,33.2
2024-07-16,Bills,Cash,At of situation.,276.12,28.23
2024-10-01,Rent,Net Banking,Level everyone near floor realize.,198.89,0.0
2024-11-29,Bills,UPI,Late century station.,368.84,0.0
2024-07-05,Transportation,UPI,Whose child paper town.,341.4,0.0
2024-09-02,Bills,Net Banking,Third offer.,159.74,0.0
2024-11-17,Food,Net Banking,None process keep run put.,209.21,0.0
2024-11-10,Entertainment,Debit Card,One economy prove.,351.27,31.19
2024-10-30,Groceries,Net Banking,So speech national own.,239.18,34.44
2024-05-03,Food,Credit Card,Begin behavior however.,479.68,0.0
2025-01-17,Rent,Debit Card,Option on growth.,206.41,0.0
2024-08-13,Rent,UPI,Thus already response focus.,113.28,0.0
2024-09-11,Bills,Cash,Return full professor.,326.05,0.0
2025-02-25,Bills,Cash,Long follow.,388.22,38.4
2024-09-08,Transportation,Net Banking,Call political sort.,437.17,26.2
2024-11-26,Transportation,Net Banking,Simply unit suggest.,379.56,0.0
2024-10-03,Food,UPI,Eye movement little indeed.,176.07,0.0
2025-01-29,Bills,Credit Card,Charge live those different.,58.04,0.0
2024-09-18,Food,Debit Card,Program fish class.,82.38,0.0
2024-11-07,Bills,Net Banking,Leg partner in their.,123.9,0.0
2025-01-16,Food,Credit Card,She into if north think.,230.82,0.0
2024-04-29,Rent,Cash,Hair thing.,234.47,0.0
2024-08-31,Entertainment,Cash,Stop election window despite.,342.06,0.0
2025-02-06,Entertainment,UPI,Move professor face.,368.37,0.0
2025-02-01,Bills,Cash,Work hour expect.,419.18,29.74
2024-05-07,Groceries,Debit Card,Job opportunity art especially individual.,426.06,1.02
2024-08-12,Rent,Cash,One similar prepare network.,78.06,0.0
2024-10-18,Transportation,Net Banking,Question couple feel specific.,393.26,0.0
2024-08-29,Groceries,UPI,Lay main.,103.27,40.27
2024-06-30,Groceries,Debit Card,Fight television provide sing.,465.64,0.0
