Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2025-03-02,Food,Net Banking,Test share board boy develop.,101.15,0.0
2024-12-06,Groceries,Credit Card,Low quite reduce action receive.,271.59,0.0
2024-10-17,Groceries,Cash,Place both.,290.04,42.11
2024-10-01,Food,UPI,But full small shoulder.,431.47,9.28
2025-02-27,Bills,UPI,Do course religious.,164.22,41.06
2025-02-07,Rent,Credit Card,Apply camera.,61.88,0.0
2024-05-30,Bills,Net Banking,Can development trip receive process.,240.28,0.0
2024-10-15,Bills,UPI,Then follow measure begin agent.,118.37,0.0
2024-07-28,Groceries,Debit Card,Cell picture a sign.,348.92,0.0
2024-05-25,Transportation,Credit Card,Book for.,395.41,0.0
2025-02-14,Groceries,Credit Card,Side professional under.,313.49,0.0
2024-11-22,Entertainment,Debit Card,Participant hope interesting clearly.,200.25,0.0
2024-12-25,Transportation,UPI,Reach mind dream two street.,431.29,0.0
2024-09-28,Bills,Net Banking,Language hope scene standard involve.,55.51,0.0
2024-05-31,Rent,Debit Card,Discover office medical.,68.26,0.0
2024-12-08,Rent,UPI,Sometimes daughter.,445.3,0.0
2024-05-09,Entertainment,Credit Card,Contain other about race speak.,271.69,11.04
2024-12-03,Transportation,Debit Card,Early drive tree in.,249.23,39.56
2025-02-04,Entertainment,UPI,Benefit power fight week.,238.32,0.0
2024-12-09,Transportation,UPI,Agency growth wear get.,260.31,0.0
2024-08-03,Groceries,Cash,Possible them.,483.52,0.0
2024-11-05,Groceries,Debit Card,Edge same father deep series.,169.11,27.78
2024-07-23,Transportation,Net Banking,Present meet system.,57.68,0.0
2024-12-06,Groceries,Debit Card,Someone yourself.,227.16,0.0
2024-10-26,Entertainment,UPI,Environment enter owner build teach.,317.93,0.0
2024-11-13,Entertainment,UPI,Teach central hot fire.,175.84,20.05
2024-09-25,Rent,Net Banking,Training argue history debate.,97.42,0.0
2024-08-03,Entertainment,Credit Card,Brother soon financial.,463.81,29.79
2024-10-09,Rent,Net Banking,Opportunity enter act.,152.9,15.98
2024-07-24,Transportation,Credit Card,Gas four.,428.47,0.0
2024-07-20,Food,Net Banking,Late real particular.,378.84,0.0
2024-07-06,Rent,Credit Card,Cell clearly perhaps.,99.15,14.26
2024-08-23,Entertainment,Cash,Something open bag police draw.,469.02,0.0
2024-12-21,Bills,Credit Card,State people standard then.,456.2,0.0
2025-02-09,Transportation,UPI,Capital party well any.,241.85,0.0
2024-10-21,Transportation,Debit Card,Staff common scientist.,186.81,0.0
2024-11-11,Bills,Net Banking,Structure office worker.,225.62,30.48
2024-08-19,Bills,UPI,That recognize involve.,466.52,0.0
2024-09-10,Food,Debit Card,Cause spend against seem.,154.99,0.0
2024-06-11,Food,Debit Card,Page mother.,76.63,24.23
2024-11-20,Bills,Debit Card,Field list.,202.09,0.0
2025-01-04,Food,Net Banking,Positive meet tax.,385.23,0.0
2024-10-12,Food,Credit Card,Keep act model nature.,400.72,0.0
2025-01-04,Transportation,Net Banking,Anyone card kind each hot.,205.72,19.96
2025-02-14,Transportation,Credit Card,Cold small experience.,365.08,21.1
2024-06-20,Entertainment,Cash,Fish add.,243.28,23.91
2025-03-04,Rent,Net Banking,Couple partner I policy.,305.05,0.75
2024-12-10,Bills,Net Banking,State public.,192.28,19.16
2024-06-16,Entertainment,Debit Card,Should begin far.,495.09,27.41
2024-09-04,Groceries,Net Banking,Ground bar.,322.0,0.0
2024-07-29,Rent,Debit Card,Teach degree manager.,400.95,0.0
2025-01-13,Transportation,UPI,Protect medical.,242.17,7.03
2024-08-07,Groceries,Cash,Tell media.,362.27,0.0
2024-09-13,Entertainment,Debit Card,Indeed middle.,496.64,0.0
2024-09-22,Food,Credit Card,Can who officer.,242.89,0.0
2025-01-27,Food,Net Banking,Know picture become tax maybe.,347.43,0.0
2025-02-21,Food,UPI,Go south data spring.,363.26,0.0
2024-07-05,Rent,UPI,Hard test.,195.75,0.0
2025-02-20,Rent,Cash,Huge performance American make.,67.5,0.0
2024-12-21,Groceries,Net Banking,Toward ever affect star.,110.85,0.0
2024-09-21,Food,Credit Card,Never audience.,443.91,0.0
2024-09-03,Groceries,Net Banking,Medical above eye bad black.,450.52,0.0
2024-08-06,Bills,Net Banking,Special may.,164.96,32.81
2024-03-25,Food,Credit Card,Story high over traditional.,227.14,0.0
2024-08-27,Rent,Cash,Course detail back close.,301.09,0.0
2024-10-07,Rent,Debit Card,Actually girl hand.,143.65,2.92
2024-12-14,Entertainment,Cash,Go now.,164.57,42.92
2024-12-01,Food,UPI,Much hold practice sort.,351.49,0.0
2024-09-08,Bills,Cash,Security class job.,141.4,0.0
2024-07-17,Transportation,Credit Card,Late late growth try.,209.22,0.0
2024-12-10,Food,Credit Card,Environment address model.,464.69,0.0
2024-09-28,Bills,UPI,Result full approach cut.,92.46,0.0
2024-04-27,Groceries,Debit Card,To third adult.,140.44,0.0
2024-05-06,Transportation,UPI,Young also send thing.,118.82,0.0
2024-11-30,Entertainment,Debit Card,Outside election.,195.31,31.59
2025-01-31,Rent,Debit Card,Spring officer public increase his.,148.33,19.99
2024-09-22,Food,Cash,Tree east film deep.,410.37,0.0
2025-03-03,Groceries,UPI,Dog will.,229.94,0.0
2025-03-13,Rent,Credit Card,Trial building wind individual throughout.,495.35,36.18
2024-05-02,Transportation,Cash,Something people.,371.56,0.0
2024-06-07,Rent,Net Banking,Anything three position page.,367.4,0.0
2025-02-18,Transportation,Net Banking,Wish heavy.,410.21,0.0
2024-09-03,Transportation,Credit Card,Fire site.,420.78,0.0
2024-06-21,Bills,Credit Card,Relationship per use.,369.44,0.0
2025-03-03,Groceries,Debit Card,Policy series.,96.59,29.59
2024-09-01,Rent,UPI,Thing hundred move sport.,365.48,0.0
2025-03-08,Bills,Cash,Foreign floor.,125.68,0.0
2024-10-29,Bills,Cash,Also former reveal change.,332.79,5.55
2025-02-28,Groceries,UPI,Herself nothing major beat.,329.14,0.0
2025-01-31,Food,UPI,Than stand it seem.,159.51,0.0
2024-05-07,Transportation,Credit Card,Couple of decide.,160.24,0.0
2024-10-21,Food,Credit Card,Paper get democratic.,103.72,33.55
2024-11-26,Rent,UPI,Skin meeting family focus.,469.87,0.0
2025-03-03,Entertainment,Debit Card,Agree military machine.,481.87,7.5
2024-08-21,Rent,Cash,Well which professor brother.,260.46,29.81
2024-09-29,Groceries,UPI,Up state study just.,315.73,0.0
2024-09-20,Food,UPI,Fine born everybody information book.,229.33,34.48
2024-10-09,Groceries,UPI,Teach now of study.,292.76,6.92
2024-04-22,Bills,UPI,Center letter purpose.,412.16,39.25
2024-09-10,Food,UPI,Save contain name very.,122.31,0.0
