Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-10-02,Bills,Credit Card,Just think.,72.52,0.0
2025-01-02,Entertainment,UPI,Each institution.,356.23,0.0
2024-06-20,Transportation,Net Banking,Story might his least.,304.3,0.0
2024-05-12,Transportation,Cash,Discuss expect general maintain.,281.35,0.0
2024-06-17,Bills,Credit Card,Drive really vote.,399.02,2.92
2024-04-04,Entertainment,Cash,Physical door your.,177.72,11.28
2025-03-07,Rent,UPI,Source ground son three.,122.51,0.0
2024-05-07,Groceries,UPI,Away field so.,388.38,0.0
2024-07-01,Entertainment,Credit Card,Arm stock.,180.17,0.0
2024-05-14,Entertainment,Credit Card,Language statement.,245.71,26.95
2024-11-14,Transportation,Net Banking,Experience among enough.,215.15,0.0
2024-07-30,Food,Net Banking,Later democratic process be.,202.01,0.0
2024-08-05,Entertainment,Net Banking,Onto enough into admit.,308.8,8.97
2024-12-19,Rent,Net Banking,Yard network.,334.95,0.0
2024-05-03,Bills,Debit Card,Over identify above out I.,301.02,0.0
2024-07-13,Food,UPI,A yourself.,221.52,37.07
2024-12-22,Transportation,Net Banking,From against modern loss.,367.66,17.2
2025-02-27,Transportation,Debit Card,Attention short skill contain.,358.19,0.0
2024-09-25,Rent,Credit Card,Benefit wide assume modern.,182.62,0.0
2024-04-15,Transportation,UPI,Full commercial fact role.,436.45,0.0
2024-03-25,Transportation,Credit Card,Watch situation military rich toward.,495.05,0.0
2025-01-28,Bills,Net Banking,Cup shake blood training across.,290.67,4.06
2024-05-17,Transportation,Debit Card,Program down recent.,89.18,0.0
2024-11-27,Entertainment,Net Banking,Whatever environment whose a.,340.24,0.0
2024-10-15,Food,Debit Card,Nothing generation method investment.,472.35,0.0
2024-03-22,Rent,Net Banking,Energy appear the.,463.0,0.0
2024-05-04,Food,Cash,Project pull action ability.,326.85,0.0
2024-06-03,Bills,Credit Card,Style message success.,292.42,0.0
2025-02-18,Food,Debit Card,Want world same.,75.38,0.0
2024-05-04,Rent,Debit Card,Executive if meeting.,397.2,0.0
2024-07-07,Food,UPI,With throughout production.,278.7,0.0
2024-11-05,Transportation,Net Banking,Quickly join while might.,89.43,0.0
2024-08-12,Groceries,Cash,Nothing turn employee pretty situation.,86.07,0.0
2025-01-13,Rent,Debit Card,Before question organization down.,469.47,0.0
2024-08-28,Rent,UPI,Present despite political.,136.51,0.0
2024-12-17,Entertainment,Credit Card,People white begin almost along.,370.25,0.0
2024-10-01,Bills,Credit Card,Picture personal probably.,415.58,0.0
2024-09-12,Bills,Net Banking,Team return.,335.65,28.03
2025-01-25,Rent,Net Banking,West keep.,259.09,0.0
2025-02-23,Food,Credit Card,You space far item.,144.75,0.0
2024-04-07,Entertainment,Cash,Seem meeting my.,155.83,0.0
2024-06-06,Entertainment,Debit Card,Property seem amount idea.,491.12,0.0
2024-09-04,Entertainment,Credit Card,People ten floor travel.,306.99,0.0
2024-08-08,Transportation,UPI,Follow pull simply cut.,81.75,0.0
2024-04-01,Bills,Debit Card,Style not.,55.76,0.0
2024-05-02,Rent,UPI,Hand second more.,264.29,15.91
2024-12-13,Rent,Net Banking,Pass security can.,72.88,47.2
2024-12-06,Bills,Debit Card,Citizen range.,51.62,35.64
2024-05-27,Rent,Debit Card,Water throughout.,57.13,0.0
2024-09-25,Rent,Net Banking,Event traditional hear.,79.78,0.0
2024-04-15,Bills,Cash,After assume marriage catch point.,190.13,0.0
2024-09-17,Food,Net Banking,Collection star serve.,59.64,0.0
2025-03-02,Food,Net Banking,Owner worker beautiful.,422.65,20.23
2024-04-07,Rent,UPI,Recognize act board attack.,57.11,0.0
2024-12-18,Rent,Credit Card,Yourself this culture.,259.12,0.0
2024-11-05,Groceries,Net Banking,Drop people management.,381.86,0.0
2024-10-02,Transportation,Net Banking,Finish join product.,292.42,0.0
2024-10-06,Entertainment,Cash,Opportunity character huge computer.,163.39,21.24
2024-12-24,Food,UPI,Just bed cover college.,213.39,0.0
2024-08-21,Bills,Debit Card,Home rock full turn.,345.99,0.0
2024-08-31,Groceries,Cash,Team protect leader.,285.94,27.02
2025-01-28,Entertainment,Credit Card,She day whether change across.,414.42,35.4
2025-01-05,Bills,Cash,Past rather.,436.33,46.61
2024-08-23,Bills,UPI,Take what effect major.,217.62,0.0
2024-07-16,Rent,Credit Card,Second party partner.,396.76,0.0
2024-10-05,Bills,Cash,Scene usually hundred.,335.59,15.7
2024-07-27,Food,Debit Card,Successful nothing parent off lead.,281.21,0.0
2024-08-26,Bills,Cash,Resource instead off.,136.53,0.0
2024-05-27,Bills,Net Banking,Discover deep year.,75.88,11.35
2024-11-24,Food,Net Banking,Lot art read.,292.03,0.0
2024-06-07,Transportation,Debit Card,Speak represent.,256.5,0.0
2024-08-11,Groceries,Net Banking,Say generation including team yeah.,73.9,0.0
2024-11-15,Rent,Net Banking,Think who play.,164.27,20.95
2024-05-11,Transportation,Cash,Product speak model.,491.89,0.0
2024-11-29,Groceries,Debit Card,Amount per without able.,201.17,0.0
2024-09-21,Bills,Net Banking,Modern purpose.,209.61,0.0
2024-08-31,Entertainment,UPI,Stop rise.,159.47,0.0
2024-09-22,Groceries,Cash,Test lay risk same what.,74.13,0.0
2024-10-09,Entertainment,Debit Card,Live practice take or.,269.39,0.0
2024-10-08,Groceries,UPI,Game and.,388.48,0.0
2024-09-03,Bills,Debit Card,Develop born approach life.,451.05,0.0
2024-05-15,Groceries,Credit Card,Likely management.,52.28,0.0
2025-03-04,Entertainment,UPI,Fear save budget name determine.,480.96,38.09
2024-08-11,Entertainment,Cash,Similar boy chance.,71.84,0.0
2024-07-13,Food,UPI,Word require.,153.11,18.37
2024-07-07,Entertainment,Net Banking,Arm save truth themselves.,445.38,12.76
2025-01-12,Entertainment,UPI,Beat town under game room.,93.55,0.0
2024-11-12,Entertainment,Debit Card,Draw person seek lawyer.,195.92,0.0
2024-05-19,Food,Net Banking,Study ten store.,493.92,0.0
2025-02-02,Groceries,Net Banking,Stay open way get.,390.29,0.0
2025-02-19,Transportation,Credit Card,There view almost claim second.,348.51,0.0
2025-01-30,Groceries,Net Banking,Painting yourself design stuff work.,379.94,0.0
2025-01-20,Bills,Debit Card,Thing down you your.,168.7,0.0
2024-10-28,Bills,Debit Card,Project ok one thank over.,486.95,0.0
2025-01-07,Groceries,Cash,Outside hold nothing upon.,247.85,0.0
2024-09-13,Entertainment,Credit Card,Television new.,189.27,0.0
