Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-05-20,Transportation,UPI,There man by party Republican.,472.59,0.0
2024-08-08,Groceries,Credit Card,So list sit best tree.,253.21,0.0
2024-12-01,Entertainment,Debit Card,Success class similar hot.,78.75,0.0
2024-12-17,Bills,Cash,Nearly across tax.,255.88,0.0
2025-02-07,Rent,Net Banking,High lead similar bit.,424.8,0.0
2024-09-06,Transportation,Net Banking,Senior finish.,139.61,27.07
2024-04-04,Transportation,Net Banking,Receive west.,74.44,0.0
2024-11-22,Transportation,Cash,Young answer heart.,431.73,24.47
2024-12-03,Rent,Credit Card,If detail military.,184.77,3.39
2024-11-18,Rent,Debit Card,Help food plant painting those.,416.98,10.46
2025-03-10,Bills,Debit Card,A example.,370.06,0.0
2024-12-03,Bills,Debit Card,Save miss.,142.07,0.0
2024-07-07,Rent,Net Banking,Manager officer financial.,121.69,0.0
2024-12-05,Groceries,Cash,Sit certainly lay food ok.,271.76,0.0
2025-02-24,Entertainment,UPI,A step develop best.,193.62,26.27
2024-08-17,Bills,Debit Card,Before sure guy color.,62.51,0.0
2024-06-30,Bills,Cash,South color stage two.,66.27,0.0
2024-03-19,Food,Cash,Push less scene specific nor.,325.21,0.0
2024-11-04,Groceries,Credit Card,Particular participant party.,196.37,0.0
2025-02-21,Bills,Net Banking,Eat career today chair.,438.16,0.0
2025-02-09,Transportation,UPI,Their former something service.,319.75,0.0
2025-02-02,Groceries,Net Banking,Prove little.,384.61,5.82
2024-06-02,Rent,Debit Card,Common TV audience month start.,370.91,30.8
2024-07-19,Bills,Cash,Future family parent face agree.,354.4,0.0
2025-02-12,Rent,Credit Card,Writer already often as.,446.89,0.0
2024-11-25,Food,UPI,Leader college take trade.,125.51,23.03
2024-08-17,Rent,UPI,Black himself house.,403.18,0.0
2024-06-26,Rent,Net Banking,Number chance.,241.5,0.0
2025-03-09,Food,UPI,Modern stand reduce case must.,433.14,0.0
2024-11-03,Rent,Cash,Heavy special suggest spring.,436.14,0.0
2024-12-18,Transportation,UPI,Whether hand.,213.22,0.0
2024-07-03,Food,Cash,Final girl miss.,485.0,27.81
2025-01-04,Bills,Net Banking,Reveal throughout certain free.,491.88,6.53
2025-03-05,Entertainment,Cash,Eat do.,493.67,0.0
2025-01-31,Entertainment,Cash,Director sound be.,474.92,1.4
2024-06-10,Transportation,Credit Card,Pull I try use.,228.58,0.0
2025-03-01,Food,UPI,Other final always issue.,389.52,6.24
2025-01-10,Entertainment,UPI,Price either able center.,482.31,0.0
2024-11-29,Transportation,Cash,Of open sit.,472.49,13.69
2024-09-08,Bills,UPI,Last talk.,135.02,0.0
2024-06-27,Bills,Cash,Someone line focus alone coach.,381.87,0.0
2024-10-05,Transportation,Cash,Character should.,306.21,0.0
2024-05-20,Rent,Debit Card,Close education.,369.42,0.0
2024-07-21,Bills,Cash,Health officer.,259.17,0.0
2024-10-24,Entertainment,Net Banking,Than direction might south.,471.41,0.0
2025-01-25,Bills,Cash,Kitchen country wrong old.,415.82,41.49
2024-07-30,Entertainment,Net Banking,Wish foreign.,383.08,12.58
2024-09-26,Transportation,Net Banking,Within how manager.,353.82,0.0
2025-02-19,Groceries,Credit Card,Miss both start high.,462.46,0.0
2025-02-20,Transportation,Debit Card,Color generation will.,88.73,0.0
2025-01-05,Bills,Net Banking,Even everyone even stuff.,200.52,0.0
2024-08-24,Rent,Cash,By possible eat.,85.83,11.93
2024-10-01,Entertainment,Debit Card,Manager ahead.,468.74,0.0
2024-07-31,Entertainment,Cash,Window relate week seven.,57.29,0.0
2025-01-20,Food,UPI,Late south.,270.47,0.0
2024-03-23,Groceries,Cash,Front commercial wonder.,163.48,24.8
2024-04-25,Rent,Cash,Miss reason support.,63.37,0.0
2024-11-05,Transportation,Credit Card,Morning fine recent mission.,100.06,0.0
2025-02-17,Rent,UPI,Situation focus gun pattern issue.,241.64,0.0
2025-03-11,Bills,UPI,Rich my television.,311.84,0.0
2024-08-26,Food,Debit Card,Instead of decade speak song.,56.74,0.0
2024-07-08,Bills,Cash,Order from western.,367.79,34.96
2024-11-05,Bills,Cash,College worry school no.,411.98,27.0
2024-10-10,Bills,Cash,Security anything participant.,132.09,0.0
2024-04-29,Food,Net Banking,Actually use low white.,148.76,0.0
2024-08-12,Bills,Credit Card,Few hit.,335.81,0.0
2024-12-25,Transportation,Net Banking,Age both.,466.97,0.0
2024-05-09,Food,Debit Card,Thought when.,50.82,0.0
2024-09-17,Transportation,Cash,Stage expect travel his.,247.43,0.0
2024-07-27,Transportation,Net Banking,Final growth.,117.46,0.0
2025-01-21,Transportation,Credit Card,Sing short front rest.,115.42,0.0
2024-06-13,Entertainment,Debit Card,Certain right.,63.46,0.0
2024-08-20,Bills,Net Banking,Maybe consider not section.,252.04,0.0
2024-03-20,Rent,UPI,Young region civil.,428.36,0.0
2025-01-30,Bills,Net Banking,Pretty high skin today.,141.16,29.35
2024-11-16,Bills,Net Banking,Gas in employee activity.,362.12,49.47
2024-04-08,Groceries,Debit Card,May scientist.,122.58,0.0
2024-12-07,Food,UPI,Trade sit table resource partner.,55.0,0.0
2024-07-04,Transportation,Credit Card,Memory teacher agree part.,193.63,0.0
2024-12-25,Food,UPI,Least plan fact use short.,321.64,15.74
2025-01-04,Food,Cash,Mr model model.,439.11,19.14
2024-07-25,Food,Credit Card,Language teach pretty keep high.,205.53,0.0
2024-11-21,Bills,UPI,Reduce expert sure.,453.17,0.0
2024-11-14,Transportation,Credit Card,When hand three pass scene.,201.61,14.53
2024-10-24,Rent,Cash,Condition single prove floor defense.,122.14,0.0
2024-06-15,Food,Cash,Wind beautiful series stay than.,424.95,0.0
2025-02-12,Rent,Credit Card,Network image memory.,155.38,0.0
2024-04-29,Rent,Net Banking,As think.,69.48,0.0
2024-06-17,Bills,Cash,Central would although.,298.67,0.0
2025-03-04,Transportation,Cash,Condition of character.,90.28,26.04
2025-01-04,Rent,Net Banking,Interest hand get likely.,59.87,43.34
2024-10-26,Entertainment,Net Banking,Table almost along mission available.,325.35,0.0
2024-07-29,Entertainment,Cash,House build.,488.24,0.0
2024-03-21,Entertainment,Net Banking,Into action her.,470.01,0.27
2024-09-09,Food,Net Banking,Degree do.,86.08,0.0
2024-03-17,Bills,UPI,Method open lose surface rest.,148.86,0.0
2024-07-19,Bills,Credit Card,Significant approach method.,142.5,0.0
2024-07-07,Transportation,Debit Card,While account suddenly.,343.56,6.76
2024-08-23,Food,Net Banking,System world process before office.,333.45,0.0
2025-03-02,Groceries,Cash,Start maybe myself respond.,362.62,0.0
