Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-10-24,Groceries,Cash,Land effort strong.,373.64,0.0
2024-09-17,Bills,Net Banking,Night follow avoid.,343.59,0.0
2024-05-25,Rent,Debit Card,Compare decade result.,126.24,0.0
2024-09-01,Food,Credit Card,Recent government discuss.,111.24,24.4
2024-12-22,Food,Debit Card,Would world.,316.51,0.0
2025-02-24,Entertainment,Cash,Shake respond ball store into.,395.94,0.0
2024-06-23,Food,UPI,Knowledge maintain.,408.27,47.6
2024-05-25,Groceries,Credit Card,Standard already none.,494.39,0.0
2024-11-22,Bills,Net Banking,Admit drive reach meet describe.,126.59,0.0
2024-12-09,Entertainment,Net Banking,Institution hear good front.,329.68,0.0
2025-03-12,Bills,Net Banking,Debate material explain public.,226.89,46.45
2025-01-11,Entertainment,Debit Card,Its responsibility above.,342.99,7.87
2024-12-31,Groceries,Debit Card,Per million peace state.,312.34,0.0
2025-02-06,Rent,Cash,Former large.,109.01,0.0
2025-02-04,Groceries,Credit Card,Foreign decide.,336.09,20.79
2024-05-30,Entertainment,Net Banking,Budget budget nice certainly every.,81.71,0.0
2024-08-19,Bills,Net Banking,Need finally hear.,96.99,0.0
2024-05-02,Groceries,Cash,Evidence smile many but explain.,302.27,0.0
2024-08-13,Bills,Cash,Others market team difficult.,55.58,0.0
2024-06-21,Entertainment,Cash,Idea town institution rise.,113.82,0.0
2024-07-31,Rent,Cash,Stop black few.,244.79,0.0
2024-08-23,Groceries,UPI,Method life few increase.,493.43,0.0
2024-08-27,Transportation,Net Banking,Present another simply adult.,440.46,0.0
2025-01-08,Entertainment,Debit Card,Rock level day education.,217.09,45.86
2024-09-06,Transportation,UPI,Four keep heart land.,141.38,0.0
2024-09-23,Rent,Credit Card,Hit source training.,470.59,39.4
2024-07-10,Groceries,UPI,Painting social pretty someone.,278.33,48.91
2025-03-16,Transportation,Cash,From production president apply allow.,326.96,0.0
2025-03-16,Entertainment,Net Banking,Who since.,370.61,0.0
2025-03-05,Groceries,UPI,Enter occur better father.,434.29,0.0
2025-02-10,Bills,UPI,Natural positive.,178.66,33.03
2024-11-28,Entertainment,UPI,Bag especially near cup.,220.34,0.0
2025-02-15,Groceries,Credit Card,The second fall low lay.,416.47,0.0
2024-09-25,Rent,Net Banking,Traditional picture effect modern.,282.42,0.0
2024-07-17,Transportation,UPI,Evening down happen.,167.24,0.0
2024-07-05,Entertainment,Net Banking,Feel material feeling mind oil.,395.5,0.0
2024-08-27,Food,Debit Card,Adult among.,269.07,0.0
2024-03-20,Food,Cash,Fly buy.,247.55,0.0
2024-03-24,Entertainment,Net Banking,Point other four race six.,266.33,0.0
2024-07-08,Groceries,Debit Card,Science gun investment.,376.53,5.45
2024-10-20,Entertainment,Net Banking,Edge art.,63.1,29.96
2024-08-16,Food,UPI,Though food crime simply.,339.38,0.0
2024-05-08,Transportation,Debit Card,Create film race ever.,191.32,0.0
2025-03-13,Rent,Net Banking,Page film special matter.,141.8,45.66
2024-03-17,Bills,Net Banking,Remember by business result four.,242.92,0.0
2024-04-24,Groceries,UPI,Clearly television approach most.,178.36,37.85
2024-04-21,Food,Debit Card,Model tree dog.,230.25,0.0
2024-04-21,Food,Net Banking,Blue range range.,319.7,0.0
2024-11-20,Rent,Credit Card,Professional southern do.,486.78,0.0
2024-08-29,Rent,UPI,Others follow study.,234.02,3.45
2024-04-07,Bills,UPI,Skin major still save process.,318.08,0.0
2024-09-19,Groceries,Cash,Capital if why.,372.73,0.0
2025-03-09,Groceries,UPI,Cut exactly federal radio.,135.24,0.0
2024-06-14,Entertainment,Debit Card,Provide wide.,122.93,0.0
2024-09-16,Food,Credit Card,Together general find.,273.25,34.54
2024-09-06,Groceries,Credit Card,Difficult gas minute.,365.01,32.09
2024-11-22,Bills,UPI,Already ball drug.,396.94,14.63
2024-08-26,Rent,Cash,Half collection subject.,387.27,0.0
2025-03-12,Entertainment,Cash,Itself recognize program woman.,94.79,0.0
2024-06-17,Entertainment,Cash,For worker.,155.61,0.0
2024-04-19,Entertainment,Net Banking,Ago mind develop process.,147.64,19.76
2024-04-22,Rent,Credit Card,Hundred member push since former.,221.34,0.0
2024-11-14,Entertainment,Cash,Only as professional point soon.,465.04,36.26
2024-10-06,Transportation,UPI,When night.,301.28,15.97
2024-06-02,Transportation,Debit Card,Capital property kind company.,431.62,0.0
2024-05-08,Transportation,Cash,Success its small more address.,273.89,0.0
2025-02-12,Food,UPI,Choose alone.,174.23,0.0
2024-09-27,Rent,Credit Card,Kitchen feeling.,387.61,0.0
2024-03-21,Entertainment,Credit Card,Act without from.,82.35,0.0
2025-01-22,Entertainment,Cash,Investment specific gas or piece.,202.57,0.0
2024-06-09,Groceries,UPI,Address nice majority.,59.14,0.0
2024-09-25,Rent,Cash,Religious explain thought.,196.64,16.52
2025-02-27,Groceries,UPI,End in.,322.03,0.0
2024-10-18,Food,Cash,With reach black.,398.59,0.0
2024-06-14,Entertainment,Net Banking,Response performance.,257.23,0.0
2025-01-15,Rent,Credit Card,Team control always.,141.49,0.0
2025-01-19,Groceries,Credit Card,Design add change side.,188.34,0.0
2024-08-13,Rent,Cash,Bar write success hope general.,400.25,0.0
2024-11-17,Groceries,Credit Card,Eight method at security course.,439.02,0.0
2024-05-05,Bills,Cash,Field product move food.,86.78,0.0
2024-05-19,Transportation,Debit Card,Effect another.,269.38,0.0
2024-08-17,Transportation,Net Banking,Man compare manage feeling.,261.82,0.0
2024-10-31,Entertainment,Cash,Night up enjoy tend.,55.5,0.0
2025-03-01,Groceries,Debit Card,Professor consumer.,449.51,0.0
2024-04-05,Rent,Debit Card,Sea water.,195.8,0.44
2024-08-12,Groceries,Cash,However onto agreement street.,268.56,0.0
2024-03-31,Transportation,Net Banking,Lawyer difference system.,306.96,45.31
2024-05-05,Entertainment,Credit Card,Board message.,208.75,49.95
2025-03-05,Transportation,Cash,Kid provide stay challenge.,89.67,14.6
2024-11-23,Transportation,Net Banking,Physical quality fact rest treat.,176.99,0.0
2024-08-21,Food,Credit Card,Outside your short.,119.61,41.95
2024-11-26,Groceries,UPI,During over.,462.38,0.0
2025-01-17,Food,Debit Card,Control throw do.,492.18,0.0
2024-12-03,Transportation,Credit Card,Discuss heart worker.,463.55,31.92
2024-04-28,Bills,Credit Card,Poor dog.,201.79,29.8
2024-03-24,Groceries,UPI,Present do.,349.7,7.02
2024-06-05,Food,UPI,Next difference.,60.43,0.0
2024-07-29,Transportation,Credit Card,Consider culture.,409.19,0.0
2024-03-30,Groceries,UPI,Wife side difficult maintain stand.,84.53,0.0
2024-08-24,Rent,UPI,Force we sister pressure interesting.,255.77,0.0
