Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-05-11,Groceries,Net Banking,Thing realize score should product.,445.65,0.0
2024-04-06,Bills,Debit Card,Trouble although level.,163.75,30.29
2025-01-20,Entertainment,UPI,Reflect so hair Democrat term.,492.96,0.0
2024-08-30,Rent,Debit Card,Rise through.,68.33,41.77
2024-10-12,Food,Cash,The yet section he never.,102.56,0.0
2024-10-09,Groceries,Credit Card,Ago medical degree sister.,203.57,0.0
2024-05-14,Bills,Credit Card,Knowledge drive international plant more.,351.35,0.0
2025-02-21,Transportation,UPI,Light education.,91.64,32.99
2024-05-28,Transportation,Net Banking,Whom million past.,490.91,0.0
2024-11-12,Bills,Credit Card,Clearly determine kitchen.,258.39,0.0
2024-06-19,Entertainment,Cash,Suddenly adult conference who event.,54.09,0.0
2024-09-24,Groceries,Debit Card,Try wrong much hour per.,75.25,19.43
2024-04-09,Transportation,UPI,Rich herself point throughout.,369.15,0.0
2024-10-31,Transportation,Net Banking,From product claim it.,263.9,0.0
2024-11-27,Food,Debit Card,That future fight.,437.71,14.73
2025-01-05,Rent,Credit Card,Much piece.,407.95,0.0
2024-09-27,Bills,Credit Card,Investment high factor beyond.,252.72,0.0
2025-02-08,Bills,Cash,Research item believe business.,100.72,0.0
2024-03-29,Transportation,UPI,Carry offer produce reach capital.,114.3,3.02
2024-04-14,Transportation,UPI,Worker sign build be.,215.66,0.0
2024-06-30,Bills,Net Banking,May lot claim south.,209.87,0.0
2025-02-08,Food,UPI,Tonight well.,97.58,0.0
2024-08-17,Entertainment,Debit Card,Price final break eight.,96.8,0.0
2024-07-17,Bills,UPI,Watch probably.,497.02,0.0
2024-07-22,Entertainment,Net Banking,Wish control political.,63.37,0.0
2024-11-26,Entertainment,Cash,Although discussion.,434.82,33.54
2024-11-15,Rent,Debit Card,Every brother goal animal particularly.,493.94,11.66
2024-03-21,Groceries,Debit Card,Him star.,82.1,0.0
2024-06-07,Entertainment,Net Banking,Side win machine my imagine.,144.79,0.0
2024-05-13,Bills,UPI,Act beyond behavior resource law.,50.28,0.0
2024-04-18,Entertainment,UPI,Choice sea final.,173.86,0.0
2024-03-29,Entertainment,Credit Card,Political people material discover theory.,213.53,19.37
2025-02-17,Groceries,Debit Card,Tell summer prepare main.,340.42,0.0
2024-09-27,Groceries,Credit Card,Great else business.,247.17,0.0
