Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-11-15,Food,Net Banking,Half for player decide base.,330.5,0.0
2024-10-03,Bills,UPI,Sit instead.,146.21,0.0
2024-12-06,Transportation,Net Banking,Page sit child music yard.,299.83,33.72
2025-01-10,Transportation,Net Banking,Despite visit could.,336.32,0.0
2024-05-23,Entertainment,UPI,Rich style provide.,299.43,0.0
2025-03-15,Groceries,Net Banking,Grow operation everything.,94.23,0.0
2024-09-01,Entertainment,Credit Card,Just somebody central lose.,398.24,18.08
2024-06-16,Groceries,Credit Card,Economy I edge such development.,186.86,5.84
2024-12-20,Transportation,Cash,Size seven green risk.,354.25,0.0
2024-09-13,Rent,Credit Card,Perhaps discuss most.,430.45,0.0
2024-12-17,Groceries,Debit Card,Serve amount reality.,112.06,0.0
2024-12-02,Groceries,Debit Card,Fund remember provide century single.,162.89,0.0
2025-02-22,Groceries,Debit Card,We morning.,120.29,0.0
2024-05-30,Food,UPI,No maybe listen those kitchen.,458.48,10.57
2024-09-23,Transportation,Debit Card,At side talk decide tonight.,151.6,23.08
2024-12-17,Rent,Credit Card,Join agreement.,118.34,0.0
2024-12-27,Bills,Net Banking,Lead figure enjoy common about.,159.44,0.0
2024-05-23,Groceries,Net Banking,Instead lawyer.,330.73,0.0
2025-02-14,Food,UPI,Behind together process third.,189.96,0.0
2024-06-19,Food,Debit Card,Kind church minute on.,59.38,0.0
2024-11-01,Groceries,Debit Card,Box particular low shake.,245.67,0.0
2024-08-05,Food,Net Banking,Benefit paper.,119.11,37.17
2024-10-15,Entertainment,Cash,Half most method.,204.37,38.78
2024-10-28,Groceries,Credit Card,Claim wife head tonight information.,281.51,0.0
2024-10-27,Groceries,Credit Card,Husband home their.,350.43,44.3
2025-01-18,Food,Credit Card,Create conference.,250.65,0.0
2025-01-04,Rent,Cash,Reveal reach question include.,368.28,4.71
2025-01-29,Groceries,Cash,Material any reduce.,53.11,0.0
2024-09-16,Transportation,Credit Card,Detail stuff couple question.,478.44,29.19
2024-03-23,Entertainment,UPI,Side response.,58.11,0.0
2024-11-26,Entertainment,UPI,No our guy former.,56.17,0.0
2025-01-31,Bills,Cash,Something support.,143.7,0.0
2024-06-22,Groceries,Debit Card,Air least religious rich trouble.,243.15,45.82
2024-06-29,Transportation,Cash,Despite fact population pass.,371.37,22.47
2024-10-03,Transportation,Net Banking,Which and tough.,73.26,0.0
2025-01-10,Bills,Credit Card,He environment.,63.29,20.52
2024-05-10,Transportation,Net Banking,Especially between but.,245.35,0.0
2024-06-18,Entertainment,Net Banking,Career center place teacher.,485.55,0.0
2024-09-18,Rent,Net Banking,Writer vote must well.,406.46,0.0
2024-10-12,Entertainment,Net Banking,Couple inside together green.,219.78,23.06
2024-05-04,Entertainment,Debit Card,Read whether exactly.,254.87,0.0
2024-11-08,Transportation,Credit Card,Structure maybe energy group take.,472.66,0.0
2024-04-07,Bills,Net Banking,Campaign member option series.,423.55,0.0
2024-12-23,Rent,UPI,Today affect meet bill.,240.47,0.0
2025-02-03,Food,Net Banking,Education form community.,266.02,19.92
2024-07-01,Food,Cash,Often deal travel house only.,420.05,0.0
2024-11-07,Groceries,UPI,It would expect family.,86.15,0.0
2024-10-19,Groceries,Cash,Less order.,483.15,0.0
2024-11-23,Bills,Credit Card,Film book option way.,225.2,0.0
2024-04-28,Bills,Debit Card,Idea factor determine.,61.95,1.69
2024-07-27,Bills,Credit Card,Edge campaign property turn.,335.83,0.0
2024-10-05,Groceries,UPI,Support thought network church culture.,57.14,0.0
2025-01-03,Rent,Cash,Certainly generation.,118.15,0.0
2024-12-20,Entertainment,Debit Card,Open another.,432.34,0.0
2024-06-28,Groceries,Cash,Determine carry save.,54.85,14.05
2024-05-12,Groceries,Credit Card,Foot chair market type.,125.4,3.48
2024-12-30,Groceries,Credit Card,Off fact practice issue wall.,168.92,0.0
2024-06-02,Groceries,Net Banking,Answer last avoid modern.,369.36,0.0
2024-10-02,Food,UPI,Check could work join.,66.87,0.0
2025-02-24,Transportation,Net Banking,Off modern like former.,181.13,0.0
2024-08-14,Transportation,Net Banking,Air issue.,149.9,0.0
2025-01-18,Transportation,Net Banking,Sport call edge piece.,100.77,13.58
2024-04-07,Food,Credit Card,Become answer billion.,343.07,0.0
2024-12-08,Food,UPI,Suddenly car floor than.,152.48,0.0
2024-10-21,Bills,Cash,Mean bar candidate.,55.78,32.47
2024-08-02,Groceries,Credit Card,Measure develop charge ten.,170.31,0.0
2024-05-30,Entertainment,Credit Card,Trip not.,466.1,0.0
2024-05-06,Groceries,Credit Card,Take gas pattern present.,424.84,0.0
2025-01-15,Transportation,Cash,Get lawyer.,219.24,0.0
2024-10-05,Entertainment,UPI,Though marriage before.,394.99,0.0
2024-05-25,Bills,Net Banking,While wonder.,71.01,0.0
2024-10-01,Food,Net Banking,Painting article item.,398.03,17.04
2024-04-08,Bills,Debit Card,Each air six such.,316.48,0.0
2024-10-23,Rent,UPI,Section difficult sit million.,151.26,0.0
2024-08-15,Groceries,UPI,Check agent view.,393.84,0.0
2024-09-24,Food,Debit Card,Boy help.,466.75,0.0
2024-10-10,Groceries,UPI,Today third.,421.98,19.83
2024-08-17,Entertainment,Credit Card,By pull.,194.86,42.36
2024-05-15,Bills,Credit Card,Various century.,452.54,4.17
2025-03-03,Entertainment,Net Banking,Financial short.,77.26,3.2
2024-05-05,Entertainment,UPI,Certainly prevent budget professional.,427.63,0.0
2024-08-10,Food,Net Banking,Room thus group whole.,406.84,0.0
2024-10-02,Bills,Cash,Old its agree chance degree.,197.85,0.0
2024-06-13,Groceries,Credit Card,Near few police time form.,126.01,0.0
2024-10-23,Entertainment,Cash,Hold matter possible film.,101.04,0.0
2024-08-04,Food,UPI,Civil know our product.,217.39,0.0
2024-12-31,Transportation,Debit Card,To bill class fine.,254.82,16.29
2024-12-05,Bills,Credit Card,Push particular offer.,83.23,5.82
2024-08-09,Food,Credit Card,Job right.,203.67,0.0
2025-01-27,Entertainment,Net Banking,Like government cold church.,384.97,7.34
2025-02-09,Bills,Cash,Offer less century.,107.73,0.0
2025-03-06,Food,Debit Card,Enter process fish seat.,488.22,0.0
2024-11-13,Food,UPI,Before else cell.,270.94,0.0
2024-11-29,Rent,Credit Card,Member can.,57.27,11.7
2024-06-25,Bills,Net Banking,Professor if chance many.,276.09,2.88
2025-01-12,Rent,Debit Card,Try what strategy.,82.67,0.0
2024-05-03,Food,Cash,Message coach different issue.,284.46,0.0
2024-04-12,Food,UPI,Seem fear person machine.,267.57,0.0
2025-02-01,Transportation,Net Banking,According oil movie base.,477.46,0.0
2024-09-08,Rent,Net Banking,Should hot interesting.,346.07,0.0
