Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-10-12,Entertainment,UPI,Far significant note.,331.58,26.82
2024-11-27,Transportation,Credit Card,By never need officer.,99.14,0.0
2025-02-02,Transportation,Cash,Congress true guy early.,68.69,0.0
2024-10-23,Entertainment,Credit Card,Fund energy half bed.,340.64,0.0
2025-02-10,Entertainment,Credit Card,Argue shake.,62.7,35.25
2024-06-11,Food,Cash,Identify fine about.,309.08,0.0
2025-02-24,Food,Cash,Truth plan suffer born.,55.7,0.0
2024-03-19,Rent,Debit Card,Send turn claim real.,63.12,0.0
2024-11-28,Rent,Credit Card,While success her capital.,315.94,32.6
2024-08-09,Transportation,Net Banking,Price bar play.,398.04,0.0
2024-11-06,Bills,Net Banking,Who data partner.,414.1,0.92
2024-07-08,Food,Debit Card,Baby theory kind.,85.02,0.0
2024-08-14,Entertainment,Net Banking,Nice close.,316.24,0.0
2024-12-11,Entertainment,UPI,Follow interesting.,487.49,0.0
2024-12-01,Rent,UPI,Sure Mr wait officer.,374.47,0.0
2025-01-16,Food,UPI,Smile television.,231.71,0.0
2025-02-22,Rent,Credit Card,Development no turn black.,273.89,0.0
2024-08-23,Transportation,UPI,We coach lay represent change.,405.94,42.85
2024-11-03,Groceries,Cash,Item local.,309.95,0.0
2024-07-21,Bills,Credit Card,Option protect later piece.,215.34,43.47
2025-03-13,Food,Net Banking,History whose soon until.,132.2,0.0
2024-06-08,Entertainment,Debit Card,Cover statement able suggest.,67.92,0.0
2024-05-15,Food,Debit Card,Need offer note.,290.16,14.18
2024-09-30,Bills,Credit Card,Design choose point not.,162.42,43.96
2025-01-12,Food,Net Banking,Again those pull.,293.08,0.0
2024-03-23,Groceries,Credit Card,Evidence themselves cup one.,262.34,33.47
2024-06-15,Bills,Debit Card,Relationship history probably challenge.,102.02,24.24
2025-02-06,Entertainment,Debit Card,Company past age war pressure.,198.48,0.0
2025-02-17,Entertainment,Net Banking,Where well.,162.13,0.0
2024-04-23,Bills,UPI,Under action bed.,263.75,0.0
2024-10-27,Food,Debit Card,Father staff.,171.39,22.35
2024-09-16,Transportation,Credit Card,Management follow nature.,424.41,0.0
2025-01-08,Rent,UPI,Finally boy television foreign.,441.68,0.0
2025-03-13,Groceries,Cash,Investment since sometimes most.,369.17,21.86
2024-08-18,Entertainment,UPI,Idea benefit them commercial.,273.15,0.0
2025-01-07,Transportation,UPI,Hour through throw.,303.44,0.0
2024-07-15,Groceries,Debit Card,Thank civil take.,148.4,0.0
2024-06-30,Transportation,Cash,Recently social company.,55.81,0.0
2024-10-17,Entertainment,Credit Card,Test least.,486.38,0.0
2025-03-08,Food,Credit Card,Good western parent.,142.43,22.2
2025-02-03,Bills,UPI,Start us them ok on.,198.94,0.0
2025-01-14,Transportation,UPI,Local deep poor.,287.66,1.7
2024-07-20,Groceries,Cash,Writer forget mission.,322.57,24.46
2024-07-06,Food,Cash,Send to.,238.29,0.0
2024-10-02,Entertainment,UPI,Include hair organization risk plan.,340.49,0.0
2024-12-22,Entertainment,Credit Card,Cup scientist.,271.66,0.0
2024-10-27,Rent,Debit Card,Fund yet owner.,331.41,0.0
2024-04-22,Groceries,Net Banking,Spend performance read.,229.92,0.0
2025-02-20,Bills,UPI,Add call.,369.59,0.0
2024-08-01,Groceries,Debit Card,Talk nothing tonight.,101.99,25.98
2025-02-11,Rent,Cash,Speak old lawyer.,445.06,0.0
2024-06-02,Transportation,Cash,Community me either.,124.74,10.83
2024-04-02,Groceries,Debit Card,Enter citizen support around.,155.52,0.0
2024-09-25,Transportation,UPI,Because young carry.,449.82,0.0
2024-05-19,Transportation,Debit Card,Talk foreign realize lot fire.,436.94,25.27
2024-12-24,Food,Credit Card,Bring pass today machine.,247.47,0.0
2024-11-09,Food,Net Banking,Debate situation foreign.,57.37,0.0
2024-08-17,Bills,Debit Card,Stock guess hospital doctor PM.,393.78,0.0
2024-05-11,Bills,Credit Card,Game crime what age.,266.66,0.0
2025-03-10,Bills,Net Banking,Beat paper model.,290.72,0.0
2024-10-30,Transportation,Net Banking,Operation size describe.,269.97,0.0
2024-08-05,Bills,Credit Card,Young record.,296.01,0.0
2024-09-02,Entertainment,Credit Card,Official become senior air beyond.,220.42,46.91
2025-03-10,Rent,Debit Card,Fire box story.,137.37,0.0
2025-01-11,Transportation,Credit Card,Operation hundred program.,97.92,0.0
2024-05-10,Entertainment,Debit Card,Glass sport sea human.,426.7,0.0
2024-12-15,Groceries,Net Banking,To may sort certain family.,456.02,0.0
2024-08-19,Groceries,Net Banking,Why concern physical.,486.62,0.0
2024-10-15,Food,Net Banking,Get senior.,488.6,0.0
2024-08-27,Transportation,Debit Card,Simply kind enough.,369.24,0.0
2024-06-13,Transportation,Debit Card,Sister radio.,411.3,0.0
2024-09-19,Food,Cash,Argue suggest teacher cut.,208.44,0.0
2024-09-15,Food,Debit Card,Activity weight show.,174.11,0.0
2024-05-27,Food,Credit Card,Chair article analysis spend relationship.,399.34,0.0
2024-11-25,Entertainment,Net Banking,Show where wear.,84.88,0.0
2024-12-14,Transportation,Net Banking,Behavior officer worker campaign.,105.14,0.0
2024-12-12,Rent,Net Banking,Force learn responsibility guess.,395.18,0.0
2024-08-01,Rent,UPI,This room artist catch.,204.82,0.0
2024-11-10,Rent,Debit Card,Despite next artist development.,174.23,0.0
2024-10-07,Transportation,UPI,Everyone stage.,76.56,0.0
2024-09-28,Rent,Net Banking,Civil brother cost key.,458.56,0.0
2024-06-09,Transportation,Cash,Present quality inside light.,414.49,0.0
2025-02-19,Groceries,Net Banking,Tv seek same.,155.54,0.0
2024-09-13,Bills,Debit Card,Situation section prove agent.,475.63,36.62
2024-10-07,Bills,Debit Card,Might per turn.,239.86,0.0
2024-11-30,Transportation,Cash,Beyond body perhaps country.,295.38,0.0
2024-06-22,Groceries,Debit Card,Sure mean help baby fly.,320.95,0.0
2024-10-21,Rent,UPI,Partner majority serve force.,221.18,0.0
2024-12-04,Entertainment,Net Banking,Father type voice.,51.36,0.0
2024-09-22,Groceries,Credit Card,Only media assume.,362.52,0.0
2024-09-24,Bills,Credit Card,Miss green.,57.64,0.0
2024-05-21,Bills,Credit Card,West wonder century east.,229.89,21.15
2024-07-05,Entertainment,Net Banking,Law seek.,219.39,0.0
2024-07-10,Groceries,Debit Card,Force relationship matter.,471.21,0.0
2024-05-22,Groceries,UPI,Member best girl standard carry.,173.43,0.0
2024-10-01,Food,Debit Card,Form several.,212.62,0.0
2025-03-10,Rent,Credit Card,Structure happy.,436.7,0.0
2024-11-20,Bills,Credit Card,Compare certain among.,165.71,0.0
2024-04-17,Food,Debit Card,Mother sense glass.,299.97,0.0
2025-03-08,Groceries,Cash,Work dog not forget.,159.2,0.0
