Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-04-07,Entertainment,Debit Card,Recent she rest wall require.,120.03,0.0
2024-10-09,Food,Debit Card,Before support know.,333.02,0.0
2024-07-31,Food,UPI,Move purpose day.,372.52,45.84
2024-08-28,Entertainment,Debit Card,Likely rest foot minute.,167.89,0.0
2024-06-18,Rent,UPI,Same particularly share different.,90.69,0.0
2024-09-28,Bills,Debit Card,Instead plant.,478.11,10.72
2025-02-23,Bills,Net Banking,Quickly quality cut.,329.63,0.0
2024-08-10,Transportation,Credit Card,Week single.,114.04,0.0
2024-04-18,Transportation,Credit Card,Tv history agency player.,228.32,5.61
2024-03-24,Food,Debit Card,Happy trouble together child reach.,213.15,1.87
2025-02-13,Transportation,Net Banking,Reality TV item.,157.94,0.0
2024-03-30,Food,Debit Card,Say and surface.,98.3,0.0
2025-03-09,Transportation,Credit Card,Left indicate year.,480.89,0.0
2024-10-01,Rent,UPI,Staff notice in seat.,336.23,0.0
2024-10-06,Entertainment,Cash,Concern add trade student property.,309.93,9.41
2024-07-20,Entertainment,Net Banking,Detail husband baby red.,87.94,39.7
2024-08-28,Food,Credit Card,Make economy people nearly.,238.01,0.0
2024-07-14,Entertainment,Credit Card,Church artist.,434.06,0.0
2024-11-25,Food,Cash,Make worker.,273.51,0.0
2024-05-23,Bills,UPI,Significant development.,356.82,0.0
2024-10-19,Groceries,Debit Card,Example agency believe finish agreement.,56.41,48.81
2024-05-20,Bills,UPI,Last herself bed difficult deep.,324.77,17.36
2024-12-20,Food,UPI,Page wonder affect gas.,458.48,12.0
2024-03-27,Food,Cash,Human image summer.,420.07,0.0
2024-12-21,Entertainment,Debit Card,Lose show prevent crime center.,439.23,8.92
2024-04-25,Bills,Net Banking,Consider decide school.,150.97,0.0
2024-08-04,Rent,Credit Card,Pass current respond pattern.,239.0,0.0
2024-03-22,Bills,Cash,Sense summer guy whose.,80.36,0.0
2024-08-26,Rent,UPI,Research do center.,167.51,18.17
2024-10-18,Entertainment,Credit Card,Cup while tonight physical.,441.42,0.0
2024-08-30,Food,Debit Card,Price international financial probably night.,132.08,0.0
2024-04-03,Transportation,Debit Card,Man cell blood first.,373.27,0.0
2025-01-10,Entertainment,Net Banking,That when though world method.,363.31,44.09
2025-03-09,Rent,Net Banking,Everyone stand protect.,432.24,0.0
2024-06-27,Entertainment,Credit Card,Case manager art.,182.86,0.0
2024-06-11,Transportation,UPI,Notice billion.,211.16,15.68
2024-09-09,Food,Debit Card,Group bit listen us.,427.08,0.0
2024-05-30,Food,Net Banking,A hundred red.,81.8,0.0
2024-08-01,Groceries,Debit Card,Lose way opportunity big social.,403.88,0.0
2025-02-08,Food,UPI,Feel moment sort thousand certain.,371.08,0.0
2024-06-17,Bills,Cash,Coach deep.,231.67,0.0
2024-06-22,Entertainment,Debit Card,Politics hear defense dark site.,432.08,10.76
2024-06-16,Food,Debit Card,Whom buy.,78.11,13.17
2024-04-21,Bills,UPI,Hospital leader successful significant.,118.05,0.0
2025-01-24,Food,UPI,Always often area according.,276.87,0.0
2024-11-01,Food,UPI,Something oil.,211.29,0.0
2024-09-24,Bills,Debit Card,Hit six front accept probably.,388.82,0.0
2025-02-03,Food,Debit Card,Name peace defense.,305.77,0.0
